PATIENT CELL GENE VALUE
MSK28 Cell_3394 FLT3 0
MSK28 Cell_3395 FLT3 0
MSK28 Cell_3396 FLT3 0
MSK28 Cell_3397 FLT3 0
MSK28 Cell_3398 FLT3 0
MSK28 Cell_3399 FLT3 0
MSK28 Cell_3400 FLT3 0
MSK28 Cell_3401 FLT3 0
MSK28 Cell_3402 FLT3 0
MSK28 Cell_3403 FLT3 0
MSK28 Cell_3404 FLT3 0
MSK28 Cell_3405 FLT3 0
MSK28 Cell_3406 FLT3 0
MSK28 Cell_3407 FLT3 0
MSK28 Cell_3408 FLT3 0
MSK28 Cell_3409 FLT3 0
MSK28 Cell_3410 FLT3 0
MSK28 Cell_3411 FLT3 0
MSK28 Cell_3412 FLT3 0
MSK28 Cell_3413 FLT3 0
MSK28 Cell_3414 FLT3 0
MSK28 Cell_3415 FLT3 0
MSK28 Cell_3416 FLT3 0
MSK28 Cell_3417 FLT3 0
MSK28 Cell_3418 FLT3 0
MSK28 Cell_3419 FLT3 0
MSK28 Cell_3420 FLT3 1
MSK28 Cell_3421 FLT3 0
MSK28 Cell_3422 FLT3 0
MSK28 Cell_3423 FLT3 0
MSK28 Cell_3424 FLT3 0
MSK28 Cell_3425 FLT3 0
MSK28 Cell_3426 FLT3 0
MSK28 Cell_3427 FLT3 0
MSK28 Cell_3428 FLT3 0
MSK28 Cell_3429 FLT3 0
MSK28 Cell_3430 FLT3 0
MSK28 Cell_3431 FLT3 0
MSK28 Cell_3432 FLT3 0
MSK28 Cell_3433 FLT3 0
MSK28 Cell_3434 FLT3 0
MSK28 Cell_3435 FLT3 0
MSK28 Cell_3436 FLT3 0
MSK28 Cell_3437 FLT3 0
MSK28 Cell_3438 FLT3 0
MSK28 Cell_3439 FLT3 0
MSK28 Cell_3440 FLT3 0
MSK28 Cell_3441 FLT3 0
MSK28 Cell_3442 FLT3 0
MSK28 Cell_3443 FLT3 0
MSK28 Cell_3444 FLT3 0
MSK28 Cell_3445 FLT3 0
MSK28 Cell_3446 FLT3 0
MSK28 Cell_3447 FLT3 0
MSK28 Cell_3448 FLT3 0
MSK28 Cell_3449 FLT3 0
MSK28 Cell_3450 FLT3 0
MSK28 Cell_3451 FLT3 0
MSK28 Cell_3452 FLT3 0
MSK28 Cell_3453 FLT3 0
MSK28 Cell_3454 FLT3 0
MSK28 Cell_3455 FLT3 0
MSK28 Cell_3456 FLT3 0
MSK28 Cell_3457 FLT3 0
MSK28 Cell_3458 FLT3 0
MSK28 Cell_3459 FLT3 0
MSK28 Cell_3460 FLT3 0
MSK28 Cell_3461 FLT3 0
MSK28 Cell_3462 FLT3 0
MSK28 Cell_3463 FLT3 0
MSK28 Cell_3464 FLT3 0
MSK28 Cell_3465 FLT3 0
MSK28 Cell_3466 FLT3 0
MSK28 Cell_3467 FLT3 0
MSK28 Cell_3468 FLT3 0
MSK28 Cell_3469 FLT3 0
MSK28 Cell_3470 FLT3 0
MSK28 Cell_3471 FLT3 0
MSK28 Cell_3472 FLT3 0
MSK28 Cell_3473 FLT3 0
MSK28 Cell_3474 FLT3 0
MSK28 Cell_3475 FLT3 0
MSK28 Cell_3476 FLT3 0
MSK28 Cell_3477 FLT3 0
MSK28 Cell_3478 FLT3 0
MSK28 Cell_3479 FLT3 0
MSK28 Cell_3480 FLT3 0
MSK28 Cell_3481 FLT3 0
MSK28 Cell_3482 FLT3 0
MSK28 Cell_3483 FLT3 0
MSK28 Cell_3484 FLT3 0
MSK28 Cell_3485 FLT3 0
MSK28 Cell_3486 FLT3 0
MSK28 Cell_3487 FLT3 1
MSK28 Cell_3488 FLT3 0
MSK28 Cell_3489 FLT3 0
MSK28 Cell_3490 FLT3 1
MSK28 Cell_3491 FLT3 0
MSK28 Cell_3492 FLT3 0
MSK28 Cell_3493 FLT3 0
MSK28 Cell_3494 FLT3 0
MSK28 Cell_3495 FLT3 0
MSK28 Cell_3496 FLT3 0
MSK28 Cell_3497 FLT3 0
MSK28 Cell_3498 FLT3 0
MSK28 Cell_3499 FLT3 0
MSK28 Cell_3500 FLT3 0
MSK28 Cell_3501 FLT3 0
MSK28 Cell_3502 FLT3 0
MSK28 Cell_3503 FLT3 0
MSK28 Cell_3504 FLT3 0
MSK28 Cell_3505 FLT3 0
MSK28 Cell_3506 FLT3 0
MSK28 Cell_3507 FLT3 0
MSK28 Cell_3508 FLT3 0
MSK28 Cell_3509 FLT3 0
MSK28 Cell_3510 FLT3 0
MSK28 Cell_3511 FLT3 0
MSK28 Cell_3512 FLT3 0
MSK28 Cell_3513 FLT3 0
MSK28 Cell_3514 FLT3 0
MSK28 Cell_3515 FLT3 0
MSK28 Cell_3516 FLT3 0
MSK28 Cell_3517 FLT3 0
MSK28 Cell_3518 FLT3 0
MSK28 Cell_3519 FLT3 0
MSK28 Cell_3520 FLT3 0
MSK28 Cell_3521 FLT3 0
MSK28 Cell_3522 FLT3 0
MSK28 Cell_3523 FLT3 0
MSK28 Cell_3524 FLT3 0
MSK28 Cell_3525 FLT3 0
MSK28 Cell_3526 FLT3 0
MSK28 Cell_3527 FLT3 0
MSK28 Cell_3528 FLT3 0
MSK28 Cell_3529 FLT3 0
MSK28 Cell_3530 FLT3 0
MSK28 Cell_3531 FLT3 0
MSK28 Cell_3532 FLT3 0
MSK28 Cell_3533 FLT3 0
MSK28 Cell_3534 FLT3 0
MSK28 Cell_3535 FLT3 0
MSK28 Cell_3536 FLT3 0
MSK28 Cell_3537 FLT3 0
MSK28 Cell_3538 FLT3 0
MSK28 Cell_3539 FLT3 0
MSK28 Cell_3540 FLT3 0
MSK28 Cell_3541 FLT3 0
MSK28 Cell_3542 FLT3 0
MSK28 Cell_3543 FLT3 0
MSK28 Cell_3544 FLT3 0
MSK28 Cell_3545 FLT3 0
MSK28 Cell_3546 FLT3 0
MSK28 Cell_3547 FLT3 0
MSK28 Cell_3548 FLT3 0
MSK28 Cell_3549 FLT3 0
MSK28 Cell_3550 FLT3 0
MSK28 Cell_3551 FLT3 0
MSK28 Cell_3552 FLT3 0
MSK28 Cell_3553 FLT3 0
MSK28 Cell_3554 FLT3 0
MSK28 Cell_3555 FLT3 0
MSK28 Cell_3556 FLT3 0
MSK28 Cell_3557 FLT3 0
MSK28 Cell_3558 FLT3 0
MSK28 Cell_3559 FLT3 0
MSK28 Cell_3560 FLT3 0
MSK28 Cell_3561 FLT3 0
MSK28 Cell_3562 FLT3 0
MSK28 Cell_3563 FLT3 0
MSK28 Cell_3564 FLT3 0
MSK28 Cell_3565 FLT3 0
MSK28 Cell_3566 FLT3 0
MSK28 Cell_3567 FLT3 0
MSK28 Cell_3568 FLT3 0
MSK28 Cell_3569 FLT3 0
MSK28 Cell_3570 FLT3 0
MSK28 Cell_3571 FLT3 0
MSK28 Cell_3572 FLT3 0
MSK28 Cell_3573 FLT3 0
MSK28 Cell_3574 FLT3 0
MSK28 Cell_3575 FLT3 0
MSK28 Cell_3576 FLT3 0
MSK28 Cell_3577 FLT3 0
MSK28 Cell_3578 FLT3 0
MSK28 Cell_3579 FLT3 0
MSK28 Cell_3580 FLT3 0
MSK28 Cell_3581 FLT3 0
MSK28 Cell_3582 FLT3 0
MSK28 Cell_3583 FLT3 0
MSK28 Cell_3584 FLT3 0
MSK28 Cell_3585 FLT3 0
MSK28 Cell_3586 FLT3 0
MSK28 Cell_3587 FLT3 0
MSK28 Cell_3588 FLT3 0
MSK28 Cell_3589 FLT3 0
MSK28 Cell_3590 FLT3 0
MSK28 Cell_3591 FLT3 0
MSK28 Cell_3592 FLT3 0
MSK28 Cell_3593 FLT3 0
MSK28 Cell_3594 FLT3 0
MSK28 Cell_3595 FLT3 0
MSK28 Cell_3596 FLT3 0
MSK28 Cell_3597 FLT3 0
MSK28 Cell_3598 FLT3 0
MSK28 Cell_3599 FLT3 0
MSK28 Cell_3600 FLT3 0
MSK28 Cell_3601 FLT3 0
MSK28 Cell_3602 FLT3 0
MSK28 Cell_3603 FLT3 0
MSK28 Cell_3604 FLT3 0
MSK28 Cell_3605 FLT3 0
MSK28 Cell_3606 FLT3 0
MSK28 Cell_3607 FLT3 0
MSK28 Cell_3608 FLT3 0
MSK28 Cell_3609 FLT3 0
MSK28 Cell_3610 FLT3 0
MSK28 Cell_3611 FLT3 0
MSK28 Cell_3612 FLT3 0
MSK28 Cell_3613 FLT3 1
MSK28 Cell_3614 FLT3 0
MSK28 Cell_3615 FLT3 0
MSK28 Cell_3616 FLT3 0
MSK28 Cell_3617 FLT3 0
MSK28 Cell_3618 FLT3 0
MSK28 Cell_3619 FLT3 0
MSK28 Cell_3620 FLT3 0
MSK28 Cell_3621 FLT3 0
MSK28 Cell_3622 FLT3 0
MSK28 Cell_3623 FLT3 0
MSK28 Cell_3624 FLT3 0
MSK28 Cell_3625 FLT3 0
MSK28 Cell_3626 FLT3 0
MSK28 Cell_3627 FLT3 0
MSK28 Cell_3628 FLT3 0
MSK28 Cell_3629 FLT3 0
MSK28 Cell_3630 FLT3 0
MSK28 Cell_3631 FLT3 0
MSK28 Cell_3632 FLT3 0
MSK28 Cell_3633 FLT3 0
MSK28 Cell_3634 FLT3 0
MSK28 Cell_3635 FLT3 0
MSK28 Cell_3636 FLT3 0
MSK28 Cell_3637 FLT3 0
MSK28 Cell_3638 FLT3 0
MSK28 Cell_3639 FLT3 0
MSK28 Cell_3640 FLT3 0
MSK28 Cell_3641 FLT3 0
MSK28 Cell_3642 FLT3 0
MSK28 Cell_3643 FLT3 0
MSK28 Cell_3644 FLT3 1
MSK28 Cell_3645 FLT3 0
MSK28 Cell_3646 FLT3 0
MSK28 Cell_3647 FLT3 0
MSK28 Cell_3648 FLT3 0
MSK28 Cell_3649 FLT3 0
MSK28 Cell_3650 FLT3 0
MSK28 Cell_3651 FLT3 0
MSK28 Cell_3652 FLT3 0
MSK28 Cell_3653 FLT3 0
MSK28 Cell_3654 FLT3 0
MSK28 Cell_3655 FLT3 0
MSK28 Cell_3656 FLT3 0
MSK28 Cell_3657 FLT3 0
MSK28 Cell_3658 FLT3 0
MSK28 Cell_3659 FLT3 0
MSK28 Cell_3660 FLT3 0
MSK28 Cell_3661 FLT3 0
MSK28 Cell_3662 FLT3 0
MSK28 Cell_3663 FLT3 0
MSK28 Cell_3664 FLT3 0
MSK28 Cell_3665 FLT3 0
MSK28 Cell_3666 FLT3 0
MSK28 Cell_3667 FLT3 0
MSK28 Cell_3668 FLT3 0
MSK28 Cell_3669 FLT3 0
MSK28 Cell_3670 FLT3 0
MSK28 Cell_3671 FLT3 0
MSK28 Cell_3672 FLT3 0
MSK28 Cell_3673 FLT3 0
MSK28 Cell_3674 FLT3 0
MSK28 Cell_3675 FLT3 0
MSK28 Cell_3676 FLT3 0
MSK28 Cell_3677 FLT3 0
MSK28 Cell_3678 FLT3 0
MSK28 Cell_3679 FLT3 0
MSK28 Cell_3680 FLT3 0
MSK28 Cell_3681 FLT3 0
MSK28 Cell_3682 FLT3 0
MSK28 Cell_3683 FLT3 0
MSK28 Cell_3684 FLT3 0
MSK28 Cell_3685 FLT3 0
MSK28 Cell_3686 FLT3 0
MSK28 Cell_3687 FLT3 0
MSK28 Cell_3688 FLT3 0
MSK28 Cell_3689 FLT3 0
MSK28 Cell_3690 FLT3 0
MSK28 Cell_3691 FLT3 0
MSK28 Cell_3692 FLT3 0
MSK28 Cell_3693 FLT3 0
MSK28 Cell_3694 FLT3 0
MSK28 Cell_3695 FLT3 0
MSK28 Cell_3696 FLT3 0
MSK28 Cell_3697 FLT3 0
MSK28 Cell_3698 FLT3 0
MSK28 Cell_3699 FLT3 0
MSK28 Cell_3700 FLT3 0
MSK28 Cell_3701 FLT3 0
MSK28 Cell_3702 FLT3 0
MSK28 Cell_3703 FLT3 0
MSK28 Cell_3704 FLT3 0
MSK28 Cell_3705 FLT3 0
MSK28 Cell_3706 FLT3 0
MSK28 Cell_3707 FLT3 0
MSK28 Cell_3708 FLT3 0
MSK28 Cell_3709 FLT3 0
MSK28 Cell_3710 FLT3 0
MSK28 Cell_3711 FLT3 0
MSK28 Cell_3712 FLT3 0
MSK28 Cell_3713 FLT3 0
MSK28 Cell_3714 FLT3 0
MSK28 Cell_3715 FLT3 0
MSK28 Cell_3716 FLT3 0
MSK28 Cell_3717 FLT3 0
MSK28 Cell_3718 FLT3 0
MSK28 Cell_3719 FLT3 0
MSK28 Cell_3720 FLT3 0
MSK28 Cell_3721 FLT3 0
MSK28 Cell_3722 FLT3 0
MSK28 Cell_3723 FLT3 0
MSK28 Cell_3724 FLT3 0
MSK28 Cell_3725 FLT3 0
MSK28 Cell_3726 FLT3 0
MSK28 Cell_3727 FLT3 0
MSK28 Cell_3728 FLT3 0
MSK28 Cell_3729 FLT3 0
MSK28 Cell_3730 FLT3 0
MSK28 Cell_3731 FLT3 0
MSK28 Cell_3732 FLT3 0
MSK28 Cell_3733 FLT3 0
MSK28 Cell_3734 FLT3 0
MSK28 Cell_3735 FLT3 0
MSK28 Cell_3736 FLT3 0
MSK28 Cell_3737 FLT3 0
MSK28 Cell_3738 FLT3 0
MSK28 Cell_3739 FLT3 0
MSK28 Cell_3740 FLT3 0
MSK28 Cell_3741 FLT3 0
MSK28 Cell_3742 FLT3 0
MSK28 Cell_3743 FLT3 0
MSK28 Cell_3744 FLT3 0
MSK28 Cell_3745 FLT3 0
MSK28 Cell_3746 FLT3 0
MSK28 Cell_3747 FLT3 0
MSK28 Cell_3748 FLT3 0
MSK28 Cell_3749 FLT3 0
MSK28 Cell_3750 FLT3 0
MSK28 Cell_3751 FLT3 0
MSK28 Cell_3752 FLT3 0
MSK28 Cell_3753 FLT3 0
MSK28 Cell_3754 FLT3 0
MSK28 Cell_3755 FLT3 0
MSK28 Cell_3756 FLT3 0
MSK28 Cell_3757 FLT3 0
MSK28 Cell_3758 FLT3 0
MSK28 Cell_3759 FLT3 0
MSK28 Cell_3760 FLT3 0
MSK28 Cell_3761 FLT3 0
MSK28 Cell_3762 FLT3 0
MSK28 Cell_3763 FLT3 0
MSK28 Cell_3764 FLT3 0
MSK28 Cell_3765 FLT3 0
MSK28 Cell_3766 FLT3 0
MSK28 Cell_3767 FLT3 0
MSK28 Cell_3768 FLT3 0
MSK28 Cell_3769 FLT3 0
MSK28 Cell_3770 FLT3 0
MSK28 Cell_3771 FLT3 0
MSK28 Cell_3772 FLT3 0
MSK28 Cell_3773 FLT3 0
MSK28 Cell_3774 FLT3 0
MSK28 Cell_3775 FLT3 0
MSK28 Cell_3776 FLT3 0
MSK28 Cell_3777 FLT3 0
MSK28 Cell_3778 FLT3 0
MSK28 Cell_3779 FLT3 0
MSK28 Cell_3780 FLT3 0
MSK28 Cell_3781 FLT3 0
MSK28 Cell_3782 FLT3 0
MSK28 Cell_3783 FLT3 0
MSK28 Cell_3784 FLT3 0
MSK28 Cell_3785 FLT3 0
MSK28 Cell_3786 FLT3 0
MSK28 Cell_3787 FLT3 0
MSK28 Cell_3788 FLT3 0
MSK28 Cell_3789 FLT3 0
MSK28 Cell_3790 FLT3 0
MSK28 Cell_3791 FLT3 0
MSK28 Cell_3792 FLT3 0
MSK28 Cell_3793 FLT3 0
MSK28 Cell_3794 FLT3 0
MSK28 Cell_3795 FLT3 0
MSK28 Cell_3796 FLT3 0
MSK28 Cell_3797 FLT3 1
MSK28 Cell_3798 FLT3 0
MSK28 Cell_3799 FLT3 0
MSK28 Cell_3800 FLT3 0
MSK28 Cell_3801 FLT3 0
MSK28 Cell_3802 FLT3 0
MSK28 Cell_3803 FLT3 0
MSK28 Cell_3804 FLT3 0
MSK28 Cell_3805 FLT3 0
MSK28 Cell_3806 FLT3 0
MSK28 Cell_3807 FLT3 0
MSK28 Cell_3808 FLT3 0
MSK28 Cell_3809 FLT3 0
MSK28 Cell_3810 FLT3 0
MSK28 Cell_3811 FLT3 0
MSK28 Cell_3812 FLT3 0
MSK28 Cell_3813 FLT3 0
MSK28 Cell_3814 FLT3 0
MSK28 Cell_3815 FLT3 0
MSK28 Cell_3816 FLT3 0
MSK28 Cell_3817 FLT3 0
MSK28 Cell_3818 FLT3 0
MSK28 Cell_3819 FLT3 0
MSK28 Cell_3820 FLT3 0
MSK28 Cell_3821 FLT3 0
MSK28 Cell_3822 FLT3 0
MSK28 Cell_3823 FLT3 0
MSK28 Cell_3824 FLT3 0
MSK28 Cell_3825 FLT3 0
MSK28 Cell_3826 FLT3 0
MSK28 Cell_3827 FLT3 0
MSK28 Cell_3828 FLT3 0
MSK28 Cell_3829 FLT3 0
MSK28 Cell_3830 FLT3 0
MSK28 Cell_3831 FLT3 0
MSK28 Cell_3832 FLT3 0
MSK28 Cell_3833 FLT3 0
MSK28 Cell_3834 FLT3 0
MSK28 Cell_3835 FLT3 0
MSK28 Cell_3836 FLT3 0
MSK28 Cell_3837 FLT3 0
MSK28 Cell_3838 FLT3 0
MSK28 Cell_3839 FLT3 0
MSK28 Cell_3840 FLT3 0
MSK28 Cell_3841 FLT3 1
MSK28 Cell_3842 FLT3 0
MSK28 Cell_3843 FLT3 0
MSK28 Cell_3844 FLT3 0
MSK28 Cell_3845 FLT3 0
MSK28 Cell_3846 FLT3 0
MSK28 Cell_3847 FLT3 0
MSK28 Cell_3848 FLT3 0
MSK28 Cell_3849 FLT3 0
MSK28 Cell_3850 FLT3 0
MSK28 Cell_3851 FLT3 0
MSK28 Cell_3852 FLT3 0
MSK28 Cell_3853 FLT3 0
MSK28 Cell_3854 FLT3 0
MSK28 Cell_3855 FLT3 0
MSK28 Cell_3856 FLT3 0
MSK28 Cell_3857 FLT3 1
MSK28 Cell_3858 FLT3 0
MSK28 Cell_3859 FLT3 0
MSK28 Cell_3860 FLT3 0
MSK28 Cell_3861 FLT3 0
MSK28 Cell_3862 FLT3 0
MSK28 Cell_3863 FLT3 0
MSK28 Cell_3864 FLT3 0
MSK28 Cell_3865 FLT3 0
MSK28 Cell_3866 FLT3 0
MSK28 Cell_3867 FLT3 0
MSK28 Cell_3868 FLT3 0
MSK28 Cell_3869 FLT3 0
MSK28 Cell_3870 FLT3 0
MSK28 Cell_3871 FLT3 0
MSK28 Cell_3872 FLT3 0
MSK28 Cell_3873 FLT3 0
MSK28 Cell_3874 FLT3 0
MSK28 Cell_3875 FLT3 0
MSK28 Cell_3876 FLT3 0
MSK28 Cell_3877 FLT3 0
MSK28 Cell_3878 FLT3 0
MSK28 Cell_3879 FLT3 0
MSK28 Cell_3880 FLT3 0
MSK28 Cell_3881 FLT3 0
MSK28 Cell_3882 FLT3 0
MSK28 Cell_3883 FLT3 0
MSK28 Cell_3884 FLT3 0
MSK28 Cell_3885 FLT3 0
MSK28 Cell_3886 FLT3 0
MSK28 Cell_3887 FLT3 0
MSK28 Cell_3888 FLT3 0
MSK28 Cell_3889 FLT3 0
MSK28 Cell_3890 FLT3 0
MSK28 Cell_3891 FLT3 0
MSK28 Cell_3892 FLT3 0
MSK28 Cell_3893 FLT3 0
MSK28 Cell_3894 FLT3 0
MSK28 Cell_3895 FLT3 0
MSK28 Cell_3896 FLT3 0
MSK28 Cell_3897 FLT3 0
MSK28 Cell_3898 FLT3 0
MSK28 Cell_3899 FLT3 0
MSK28 Cell_3900 FLT3 1
MSK28 Cell_3901 FLT3 0
MSK28 Cell_3902 FLT3 0
MSK28 Cell_3903 FLT3 0
MSK28 Cell_3904 FLT3 0
MSK28 Cell_3905 FLT3 0
MSK28 Cell_3906 FLT3 0
MSK28 Cell_3907 FLT3 0
MSK28 Cell_3908 FLT3 0
MSK28 Cell_3909 FLT3 0
MSK28 Cell_3910 FLT3 0
MSK28 Cell_3911 FLT3 0
MSK28 Cell_3912 FLT3 0
MSK28 Cell_3913 FLT3 0
MSK28 Cell_3914 FLT3 0
MSK28 Cell_3915 FLT3 0
MSK28 Cell_3916 FLT3 0
MSK28 Cell_3917 FLT3 0
MSK28 Cell_3918 FLT3 0
MSK28 Cell_3919 FLT3 0
MSK28 Cell_3920 FLT3 0
MSK28 Cell_3921 FLT3 0
MSK28 Cell_3922 FLT3 0
MSK28 Cell_3923 FLT3 0
MSK28 Cell_3924 FLT3 0
MSK28 Cell_3925 FLT3 0
MSK28 Cell_3926 FLT3 0
MSK28 Cell_3927 FLT3 0
MSK28 Cell_3928 FLT3 0
MSK28 Cell_3929 FLT3 0
MSK28 Cell_3930 FLT3 0
MSK28 Cell_3931 FLT3 0
MSK28 Cell_3932 FLT3 0
MSK28 Cell_3933 FLT3 0
MSK28 Cell_3934 FLT3 0
MSK28 Cell_3935 FLT3 0
MSK28 Cell_3936 FLT3 0
MSK28 Cell_3937 FLT3 0
MSK28 Cell_3938 FLT3 0
MSK28 Cell_3939 FLT3 0
MSK28 Cell_3940 FLT3 0
MSK28 Cell_3941 FLT3 0
MSK28 Cell_3942 FLT3 0
MSK28 Cell_3943 FLT3 1
MSK28 Cell_3944 FLT3 0
MSK28 Cell_3945 FLT3 0
MSK28 Cell_3946 FLT3 0
MSK28 Cell_3947 FLT3 0
MSK28 Cell_3948 FLT3 0
MSK28 Cell_3949 FLT3 0
MSK28 Cell_3950 FLT3 0
MSK28 Cell_3951 FLT3 1
MSK28 Cell_3952 FLT3 0
MSK28 Cell_3953 FLT3 0
MSK28 Cell_3954 FLT3 0
MSK28 Cell_3955 FLT3 0
MSK28 Cell_3956 FLT3 0
MSK28 Cell_3957 FLT3 0
MSK28 Cell_3958 FLT3 0
MSK28 Cell_3959 FLT3 0
MSK28 Cell_3960 FLT3 0
MSK28 Cell_3961 FLT3 0
MSK28 Cell_3962 FLT3 0
MSK28 Cell_3963 FLT3 0
MSK28 Cell_3964 FLT3 0
MSK28 Cell_3965 FLT3 0
MSK28 Cell_3966 FLT3 0
MSK28 Cell_3967 FLT3 0
MSK28 Cell_3968 FLT3 0
MSK28 Cell_3969 FLT3 0
MSK28 Cell_3970 FLT3 0
MSK28 Cell_3971 FLT3 0
MSK28 Cell_3972 FLT3 0
MSK28 Cell_3973 FLT3 0
MSK28 Cell_3974 FLT3 0
MSK28 Cell_3975 FLT3 0
MSK28 Cell_3976 FLT3 0
MSK28 Cell_3977 FLT3 0
MSK28 Cell_3978 FLT3 0
MSK28 Cell_3979 FLT3 0
MSK28 Cell_3980 FLT3 0
MSK28 Cell_3981 FLT3 0
MSK28 Cell_3982 FLT3 0
MSK28 Cell_3983 FLT3 0
MSK28 Cell_3984 FLT3 0
MSK28 Cell_3985 FLT3 0
MSK28 Cell_3986 FLT3 0
MSK28 Cell_3987 FLT3 0
MSK28 Cell_3988 FLT3 0
MSK28 Cell_3989 FLT3 0
MSK28 Cell_3990 FLT3 0
MSK28 Cell_3991 FLT3 0
MSK28 Cell_3992 FLT3 0
MSK28 Cell_3993 FLT3 0
MSK28 Cell_3994 FLT3 0
MSK28 Cell_3995 FLT3 0
MSK28 Cell_3996 FLT3 0
MSK28 Cell_3997 FLT3 0
MSK28 Cell_3998 FLT3 0
MSK28 Cell_3999 FLT3 0
MSK28 Cell_4000 FLT3 0
MSK28 Cell_4001 FLT3 0
MSK28 Cell_4002 FLT3 0
MSK28 Cell_4003 FLT3 0
MSK28 Cell_4004 FLT3 0
MSK28 Cell_4005 FLT3 0
MSK28 Cell_4006 FLT3 0
MSK28 Cell_4007 FLT3 0
MSK28 Cell_4008 FLT3 0
MSK28 Cell_4009 FLT3 0
MSK28 Cell_4010 FLT3 0
MSK28 Cell_4011 FLT3 0
MSK28 Cell_4012 FLT3 0
MSK28 Cell_4013 FLT3 0
MSK28 Cell_4014 FLT3 0
MSK28 Cell_4015 FLT3 0
MSK28 Cell_4016 FLT3 0
MSK28 Cell_4017 FLT3 0
MSK28 Cell_4018 FLT3 0
MSK28 Cell_4019 FLT3 0
MSK28 Cell_4020 FLT3 0
MSK28 Cell_4021 FLT3 0
MSK28 Cell_4022 FLT3 0
MSK28 Cell_4023 FLT3 0
MSK28 Cell_4024 FLT3 0
MSK28 Cell_4025 FLT3 0
MSK28 Cell_4026 FLT3 0
MSK28 Cell_4027 FLT3 0
MSK28 Cell_4028 FLT3 0
MSK28 Cell_4029 FLT3 0
MSK28 Cell_4030 FLT3 1
MSK28 Cell_4031 FLT3 0
MSK28 Cell_4032 FLT3 0
MSK28 Cell_4033 FLT3 0
MSK28 Cell_4034 FLT3 0
MSK28 Cell_4035 FLT3 0
MSK28 Cell_4036 FLT3 0
MSK28 Cell_4037 FLT3 0
MSK28 Cell_4038 FLT3 0
MSK28 Cell_4039 FLT3 0
MSK28 Cell_4040 FLT3 0
MSK28 Cell_4041 FLT3 0
MSK28 Cell_4042 FLT3 0
MSK28 Cell_4043 FLT3 0
MSK28 Cell_4044 FLT3 0
MSK28 Cell_4045 FLT3 0
MSK28 Cell_4046 FLT3 0
MSK28 Cell_4047 FLT3 0
MSK28 Cell_4048 FLT3 0
MSK28 Cell_4049 FLT3 0
MSK28 Cell_4050 FLT3 0
MSK28 Cell_4051 FLT3 0
MSK28 Cell_4052 FLT3 0
MSK28 Cell_4053 FLT3 0
MSK28 Cell_4054 FLT3 0
MSK28 Cell_4055 FLT3 0
MSK28 Cell_4056 FLT3 0
MSK28 Cell_4057 FLT3 0
MSK28 Cell_4058 FLT3 0
MSK28 Cell_4059 FLT3 0
MSK28 Cell_4060 FLT3 0
MSK28 Cell_4061 FLT3 0
MSK28 Cell_4062 FLT3 0
MSK28 Cell_4063 FLT3 0
MSK28 Cell_4064 FLT3 0
MSK28 Cell_4065 FLT3 0
MSK28 Cell_4066 FLT3 0
MSK28 Cell_4067 FLT3 0
MSK28 Cell_4068 FLT3 0
MSK28 Cell_4069 FLT3 0
MSK28 Cell_4070 FLT3 0
MSK28 Cell_4071 FLT3 0
MSK28 Cell_4072 FLT3 0
MSK28 Cell_4073 FLT3 0
MSK28 Cell_4074 FLT3 0
MSK28 Cell_4075 FLT3 0
MSK28 Cell_4076 FLT3 0
MSK28 Cell_4077 FLT3 0
MSK28 Cell_4078 FLT3 0
MSK28 Cell_4079 FLT3 0
MSK28 Cell_4080 FLT3 0
MSK28 Cell_4081 FLT3 0
MSK28 Cell_4082 FLT3 0
MSK28 Cell_4083 FLT3 0
MSK28 Cell_4084 FLT3 0
MSK28 Cell_4085 FLT3 0
MSK28 Cell_4086 FLT3 0
MSK28 Cell_4087 FLT3 0
MSK28 Cell_4088 FLT3 0
MSK28 Cell_4089 FLT3 0
MSK28 Cell_4090 FLT3 0
MSK28 Cell_4091 FLT3 0
MSK28 Cell_4092 FLT3 0
MSK28 Cell_4093 FLT3 0
MSK28 Cell_4094 FLT3 0
MSK28 Cell_4095 FLT3 0
MSK28 Cell_4096 FLT3 0
MSK28 Cell_4097 FLT3 0
MSK28 Cell_4098 FLT3 0
MSK28 Cell_4099 FLT3 0
MSK28 Cell_4100 FLT3 0
MSK28 Cell_4101 FLT3 0
MSK28 Cell_4102 FLT3 0
MSK28 Cell_4103 FLT3 0
MSK28 Cell_4104 FLT3 0
MSK28 Cell_4105 FLT3 0
MSK28 Cell_4106 FLT3 0
MSK28 Cell_4107 FLT3 0
MSK28 Cell_4108 FLT3 0
MSK28 Cell_4109 FLT3 0
MSK28 Cell_4110 FLT3 0
MSK28 Cell_4111 FLT3 0
MSK28 Cell_4112 FLT3 0
MSK28 Cell_4113 FLT3 0
MSK28 Cell_4114 FLT3 0
MSK28 Cell_4115 FLT3 0
MSK28 Cell_4116 FLT3 0
MSK28 Cell_4117 FLT3 0
MSK28 Cell_4118 FLT3 0
MSK28 Cell_4119 FLT3 0
MSK28 Cell_4120 FLT3 0
MSK28 Cell_4121 FLT3 0
MSK28 Cell_4122 FLT3 0
MSK28 Cell_4123 FLT3 0
MSK28 Cell_4124 FLT3 0
MSK28 Cell_4125 FLT3 0
MSK28 Cell_4126 FLT3 0
MSK28 Cell_4127 FLT3 0
MSK28 Cell_4128 FLT3 0
MSK28 Cell_4129 FLT3 0
