SAMPLE	REGION	GENE	CCF
CRUK0064	R1	FAT1	0.48
CRUK0064	R1	FAT1	0.94
CRUK0064	R1	TP53	1
CRUK0064	R2	FAT1	0.02
CRUK0064	R2	FAT1	0.02
CRUK0064	R2	FAT1	0.2
CRUK0064	R2	TP53	1
CRUK0065	R1	ARID1A	0.02
CRUK0065	R1	NCOA6	0.02
CRUK0065	R1	NCOA6	0.02
CRUK0065	R1	NFE2L2	1
CRUK0065	R1	NOTCH1	0.02
CRUK0065	R1	NOTCH1	0.13
CRUK0065	R1	PIK3CA	0.02
CRUK0065	R1	PTPRC	0.02
CRUK0065	R1	TP53	0.96
CRUK0065	R1	UBR5	0.02
CRUK0065	R2	ARID1A	0.02
CRUK0065	R2	NCOA6	0.02
CRUK0065	R2	NCOA6	0.02
CRUK0065	R2	NFE2L2	1
CRUK0065	R2	NOTCH1	0.02
CRUK0065	R2	NOTCH1	0.02
CRUK0065	R2	PIK3CA	0.02
CRUK0065	R2	PTPRC	0.02
CRUK0065	R2	TP53	1
CRUK0065	R2	UBR5	0.02
CRUK0065	R3	ARID1A	0.65
CRUK0065	R3	NCOA6	0.02
CRUK0065	R3	NCOA6	0.02
CRUK0065	R3	NFE2L2	1
CRUK0065	R3	NOTCH1	0.02
CRUK0065	R3	NOTCH1	0.02
CRUK0065	R3	PIK3CA	0.02
CRUK0065	R3	PTPRC	0.02
CRUK0065	R3	TP53	0.99
CRUK0065	R3	UBR5	0.02
CRUK0065	R4	ARID1A	0.25
CRUK0065	R4	NCOA6	0.02
CRUK0065	R4	NCOA6	0.4
CRUK0065	R4	NFE2L2	1
CRUK0065	R4	NOTCH1	0.02
CRUK0065	R4	NOTCH1	0.02
CRUK0065	R4	PIK3CA	0.02
CRUK0065	R4	PTPRC	0.02
CRUK0065	R4	TP53	1
CRUK0065	R4	UBR5	0.02
CRUK0065	R5	ARID1A	0.69
CRUK0065	R5	NCOA6	0.02
CRUK0065	R5	NCOA6	0.41
CRUK0065	R5	NFE2L2	0.97
CRUK0065	R5	NOTCH1	0.02
CRUK0065	R5	NOTCH1	0.02
CRUK0065	R5	PIK3CA	0.64
CRUK0065	R5	PTPRC	0.32
CRUK0065	R5	TP53	1
CRUK0065	R5	UBR5	0.31
CRUK0065	R6	ARID1A	0.02
CRUK0065	R6	NCOA6	0.46
CRUK0065	R6	NCOA6	0.87
CRUK0065	R6	NFE2L2	0.99
CRUK0065	R6	NOTCH1	0.02
CRUK0065	R6	NOTCH1	0.47
CRUK0065	R6	PIK3CA	0.02
CRUK0065	R6	PTPRC	0.02
CRUK0065	R6	TP53	0.97
CRUK0065	R6	UBR5	0.02
CRUK0065	R7	ARID1A	0.02
CRUK0065	R7	NCOA6	0.02
CRUK0065	R7	NCOA6	0.02
CRUK0065	R7	NFE2L2	0.89
CRUK0065	R7	NOTCH1	0.02
CRUK0065	R7	NOTCH1	0.02
CRUK0065	R7	PIK3CA	0.02
CRUK0065	R7	PTPRC	0.02
CRUK0065	R7	TP53	0.89
CRUK0065	R7	UBR5	0.02
CRUK0066	R1	BRIP1	1
CRUK0066	R1	CDKN2A	1
CRUK0066	R1	COL5A2	0.02
CRUK0066	R1	COL5A2	1
CRUK0066	R1	CSMD3	0.59
CRUK0066	R1	CSMD3	0.91
CRUK0066	R1	CSMD3	1
CRUK0066	R1	NOTCH1	1
CRUK0066	R1	TP53	0.97
CRUK0066	R1	WRN	1
CRUK0066	R2	BRIP1	1
CRUK0066	R2	CDKN2A	1
CRUK0066	R2	COL5A2	0.29
CRUK0066	R2	COL5A2	0.44
CRUK0066	R2	CSMD3	0.32
CRUK0066	R2	CSMD3	0.8
CRUK0066	R2	CSMD3	1
CRUK0066	R2	NOTCH1	1
CRUK0066	R2	TP53	0.77
CRUK0066	R2	WRN	0.74
CRUK0066	R3	BRIP1	1
CRUK0066	R3	CDKN2A	0.85
CRUK0066	R3	COL5A2	0.02
CRUK0066	R3	COL5A2	0.86
CRUK0066	R3	CSMD3	0.28
CRUK0066	R3	CSMD3	0.63
CRUK0066	R3	CSMD3	1
CRUK0066	R3	NOTCH1	0.85
CRUK0066	R3	TP53	0.91
CRUK0066	R3	WRN	0.63
CRUK0066	R4	BRIP1	0.97
CRUK0066	R4	CDKN2A	1
CRUK0066	R4	COL5A2	0.02
CRUK0066	R4	COL5A2	0.84
CRUK0066	R4	CSMD3	0.79
CRUK0066	R4	CSMD3	1
CRUK0066	R4	CSMD3	1
CRUK0066	R4	NOTCH1	0.96
CRUK0066	R4	TP53	0.96
CRUK0066	R4	WRN	1
CRUK0067	R1	CUL3	0.28
CRUK0067	R1	NFE2L2	0.51
CRUK0067	R1	NOTCH1	0.02
CRUK0067	R1	NOTCH1	1
CRUK0067	R1	TP53	0.88
CRUK0067	R1	TP53	1
CRUK0067	R3	CUL3	0.02
CRUK0067	R3	NFE2L2	0.66
CRUK0067	R3	NOTCH1	0.69
CRUK0067	R3	NOTCH1	0.95
CRUK0067	R3	TP53	0.89
CRUK0067	R3	TP53	1
CRUK0068	R1	KMT2D	0.99
CRUK0068	R1	MGA	0.2
CRUK0068	R1	PTEN	0.86
CRUK0068	R1	RASA1	0.02
CRUK0068	R1	SETD2	1
CRUK0068	R1	SETDB1	0.02
CRUK0068	R1	TP53	0.82
CRUK0068	R2	KMT2D	1
CRUK0068	R2	MGA	0.02
CRUK0068	R2	PTEN	1
CRUK0068	R2	RASA1	0.02
CRUK0068	R2	SETD2	0.36
CRUK0068	R2	SETDB1	0.64
CRUK0068	R2	TP53	1
CRUK0068	R3	KMT2D	0.95
CRUK0068	R3	MGA	0.02
CRUK0068	R3	PTEN	1
CRUK0068	R3	RASA1	0.02
CRUK0068	R3	SETD2	0.84
CRUK0068	R3	SETDB1	0.02
CRUK0068	R3	TP53	1
CRUK0068	R4	KMT2D	0.99
CRUK0068	R4	MGA	0.02
CRUK0068	R4	PTEN	1
CRUK0068	R4	RASA1	0.63
CRUK0068	R4	SETD2	0.02
CRUK0068	R4	SETDB1	0.6
CRUK0068	R4	TP53	0.87
CRUK0069	R1	AMER1	0.02
CRUK0069	R1	BCLAF1	0.02
CRUK0069	R1	FAT1	1
CRUK0069	R1	KRAS	0.93
CRUK0069	R1	TP53	0.98
CRUK0069	R2	AMER1	0.02
CRUK0069	R2	BCLAF1	0.02
CRUK0069	R2	FAT1	0.91
CRUK0069	R2	KRAS	0.34
CRUK0069	R2	TP53	0.97
CRUK0069	R3	AMER1	0.02
CRUK0069	R3	BCLAF1	0.02
CRUK0069	R3	FAT1	1
CRUK0069	R3	KRAS	0.32
CRUK0069	R3	TP53	0.96
CRUK0069	R4	AMER1	0.02
CRUK0069	R4	BCLAF1	0.45
CRUK0069	R4	FAT1	1
CRUK0069	R4	KRAS	0.81
CRUK0069	R4	TP53	0.98
CRUK0069	R5	AMER1	0.02
CRUK0069	R5	BCLAF1	0.37
CRUK0069	R5	FAT1	0.83
CRUK0069	R5	KRAS	0.81
CRUK0069	R5	TP53	1
CRUK0070	R1	CBLB	0.02
CRUK0070	R1	DNM2	0.89
CRUK0070	R1	KDM6A	0.02
CRUK0070	R1	TP53	0.63
CRUK0070	R2	CBLB	0.02
CRUK0070	R2	DNM2	0.96
CRUK0070	R2	KDM6A	0.02
CRUK0070	R2	TP53	0.68
CRUK0070	R3	CBLB	0.02
CRUK0070	R3	DNM2	0.02
CRUK0070	R3	KDM6A	0.02
CRUK0070	R3	TP53	0.02
CRUK0070	R4	CBLB	0.02
CRUK0070	R4	DNM2	1
CRUK0070	R4	KDM6A	0.02
CRUK0070	R4	TP53	0.85
CRUK0070	R6	CBLB	0.87
CRUK0070	R6	DNM2	1
CRUK0070	R6	KDM6A	0.02
CRUK0070	R6	TP53	0.81
CRUK0070	R7	CBLB	1
CRUK0070	R7	DNM2	0.94
CRUK0070	R7	KDM6A	0.02
CRUK0070	R7	TP53	0.57
CRUK0071	R1	CMTR2	0.52
CRUK0071	R1	CMTR2	1
CRUK0071	R1	TP53	1
CRUK0071	R1	UBR5	0.02
CRUK0071	R2	CMTR2	0.61
CRUK0071	R2	CMTR2	1
CRUK0071	R2	TP53	0.97
CRUK0071	R2	UBR5	0.62
CRUK0071	R3	CMTR2	0.57
CRUK0071	R3	CMTR2	1
CRUK0071	R3	TP53	1
CRUK0071	R3	UBR5	0.02
CRUK0071	R5	CMTR2	0.46
CRUK0071	R5	CMTR2	0.79
CRUK0071	R5	TP53	1
CRUK0071	R5	UBR5	0.02
CRUK0071	R6	CMTR2	0.51
CRUK0071	R6	CMTR2	1
CRUK0071	R6	TP53	1
CRUK0071	R6	UBR5	0.02
CRUK0071	R7	CMTR2	0.47
CRUK0071	R7	CMTR2	1
CRUK0071	R7	TP53	0.99
CRUK0071	R7	UBR5	0.02
CRUK0073	R1	ATRX	0.02
CRUK0073	R1	CDKN2A	1
CRUK0073	R1	DICER1	0.95
CRUK0073	R1	FAT1	1
CRUK0073	R1	KMT2D	1
CRUK0073	R1	NFE2L2	1
CRUK0073	R1	NOTCH2	1
CRUK0073	R1	PLXNB2	0.02
CRUK0073	R1	PLXNB2	1
CRUK0073	R2	ATRX	0.02
CRUK0073	R2	CDKN2A	1
CRUK0073	R2	DICER1	0.95
CRUK0073	R2	FAT1	1
CRUK0073	R2	KMT2D	1
CRUK0073	R2	NFE2L2	0.99
CRUK0073	R2	NOTCH2	1
CRUK0073	R2	PLXNB2	0.91
CRUK0073	R2	PLXNB2	0.94
CRUK0074	R1	CHD4	1
CRUK0074	R1	NFE2L2	0.92
CRUK0074	R1	TP53	1
CRUK0074	R1	UBR5	0.02
CRUK0074	R2	CHD4	1
CRUK0074	R2	NFE2L2	1
CRUK0074	R2	TP53	1
CRUK0074	R2	UBR5	0.97
CRUK0074	R3	CHD4	0.02
CRUK0074	R3	NFE2L2	0.02
CRUK0074	R3	TP53	0.02
CRUK0074	R3	UBR5	0.02
CRUK0075	R1	ASXL2	1
CRUK0075	R1	FAT1	0.97
CRUK0075	R1	HCN1	1
CRUK0075	R1	MGA	1
CRUK0075	R1	NFE2L2	0.02
CRUK0075	R1	NOTCH1	0.86
CRUK0075	R1	NOTCH1	1
CRUK0075	R1	PIK3CA	0.02
CRUK0075	R1	PIK3CA	1
CRUK0075	R1	RASA1	0.73
CRUK0075	R1	RASA1	1
CRUK0075	R1	TP53	1
CRUK0075	R2	ASXL2	0.99
CRUK0075	R2	FAT1	1
CRUK0075	R2	HCN1	1
CRUK0075	R2	MGA	0.88
CRUK0075	R2	NFE2L2	0.97
CRUK0075	R2	NOTCH1	1
CRUK0075	R2	NOTCH1	1
CRUK0075	R2	PIK3CA	0.63
CRUK0075	R2	PIK3CA	0.99
CRUK0075	R2	RASA1	0.84
CRUK0075	R2	RASA1	1
CRUK0075	R2	TP53	1
CRUK0076	R1	ARID1B	0.84
CRUK0076	R1	COL5A2	0.5
CRUK0076	R1	COL5A2	0.93
CRUK0076	R1	COL5A2	0.96
CRUK0076	R1	NCOR1	0.73
CRUK0076	R1	NRXN1	0.76
CRUK0076	R1	SERPINB13	0.93
CRUK0076	R1	TP53	1
CRUK0076	R2	ARID1B	1
CRUK0076	R2	COL5A2	0.02
CRUK0076	R2	COL5A2	1
CRUK0076	R2	COL5A2	1
CRUK0076	R2	NCOR1	0.02
CRUK0076	R2	NRXN1	0.02
CRUK0076	R2	SERPINB13	0.98
CRUK0076	R2	TP53	0.95
CRUK0076	R3	ARID1B	0.94
CRUK0076	R3	COL5A2	0.08
CRUK0076	R3	COL5A2	1
CRUK0076	R3	COL5A2	1
CRUK0076	R3	NCOR1	0.21
CRUK0076	R3	NRXN1	0.18
CRUK0076	R3	SERPINB13	1
CRUK0076	R3	TP53	1
CRUK0076	R4	ARID1B	1
CRUK0076	R4	COL5A2	0.02
CRUK0076	R4	COL5A2	1
CRUK0076	R4	COL5A2	1
CRUK0076	R4	NCOR1	0.02
CRUK0076	R4	NRXN1	0.02
CRUK0076	R4	SERPINB13	0.97
CRUK0076	R4	TP53	1
CRUK0080	R2	BCLAF1	0.34
CRUK0080	R2	DNAH12	0.91
CRUK0080	R2	IKZF1	0.02
CRUK0080	R2	TP53	1
CRUK0080	R2	WT1	0.02
CRUK0080	R3	BCLAF1	0.92
CRUK0080	R3	DNAH12	1
CRUK0080	R3	IKZF1	0.02
CRUK0080	R3	TP53	1
CRUK0080	R3	WT1	1
CRUK0080	R4	BCLAF1	0.84
CRUK0080	R4	DNAH12	1
CRUK0080	R4	IKZF1	0.02
CRUK0080	R4	TP53	0.95
CRUK0080	R4	WT1	0.94
CRUK0080	R5	BCLAF1	0.82
CRUK0080	R5	DNAH12	1
CRUK0080	R5	IKZF1	1
CRUK0080	R5	TP53	1
CRUK0080	R5	WT1	0.98
CRUK0080	R6	BCLAF1	0.93
CRUK0080	R6	DNAH12	1
CRUK0080	R6	IKZF1	0.88
CRUK0080	R6	TP53	0.98
CRUK0080	R6	WT1	1
CRUK0081	R1	BCLAF1	0.55
CRUK0081	R1	CDKN2A	1
CRUK0081	R1	CNBD1	0.78
CRUK0081	R1	CYLD	0.61
CRUK0081	R1	FAT1	1
CRUK0081	R1	MBD1	0.46
CRUK0081	R1	MBD1	1
CRUK0081	R1	NOTCH1	1
CRUK0081	R1	TP53	0.94
CRUK0081	R5	BCLAF1	0.54
CRUK0081	R5	CDKN2A	0.95
CRUK0081	R5	CNBD1	0.94
CRUK0081	R5	CYLD	0.02
CRUK0081	R5	FAT1	0.94
CRUK0081	R5	MBD1	0.74
CRUK0081	R5	MBD1	0.91
CRUK0081	R5	NOTCH1	1
CRUK0081	R5	TP53	0.82
CRUK0081	R6	BCLAF1	0.5
CRUK0081	R6	CDKN2A	1
CRUK0081	R6	CNBD1	1
CRUK0081	R6	CYLD	0.02
CRUK0081	R6	FAT1	0.76
CRUK0081	R6	MBD1	0.87
CRUK0081	R6	MBD1	0.88
CRUK0081	R6	NOTCH1	1
CRUK0081	R6	TP53	1
CRUK0097	R1	PTEN	0.91
CRUK0097	R1	TP53	0.96
CRUK0097	R2	PTEN	0.34
CRUK0097	R2	TP53	0.98
CRUK0098	R1	TP53	0.93
CRUK0098	R1	UBR5	1
CRUK0098	R2	TP53	0.88
CRUK0098	R2	UBR5	0.96
CRUK0098	R3	TP53	0.86
CRUK0098	R3	UBR5	0.02
CRUK0098	R4	TP53	0.02
CRUK0098	R4	UBR5	0.02
CRUK0115	R1	CHD8	1
CRUK0115	R1	CHD8	1
CRUK0115	R1	KRAS	0.82
CRUK0115	R1	RBM10	0.02
CRUK0115	R1	RBM10	0.02
CRUK0115	R1	TP53	0.16
CRUK0115	R2	CHD8	0.02
CRUK0115	R2	CHD8	0.02
CRUK0115	R2	KRAS	0.88
CRUK0115	R2	RBM10	0.02
CRUK0115	R2	RBM10	0.02
CRUK0115	R2	TP53	0.95
CRUK0115	R3	CHD8	0.02
CRUK0115	R3	CHD8	0.02
CRUK0115	R3	KRAS	0.02
CRUK0115	R3	RBM10	0.02
CRUK0115	R3	RBM10	0.02
CRUK0115	R3	TP53	0.02
CRUK0115	R4	CHD8	0.02
CRUK0115	R4	CHD8	0.04
CRUK0115	R4	KRAS	1
CRUK0115	R4	RBM10	0.02
CRUK0115	R4	RBM10	0.02
CRUK0115	R4	TP53	1
CRUK0124	R1	APC	0.86
CRUK0124	R1	APC	0.93
CRUK0124	R1	APC	0.98
CRUK0124	R1	EGFR	0.76
CRUK0124	R1	SMAD4	0.1
CRUK0124	R1	SMAD4	0.16
CRUK0124	R2	APC	0.85
CRUK0124	R2	APC	0.95
CRUK0124	R2	APC	0.95
CRUK0124	R2	EGFR	0.67
CRUK0124	R2	SMAD4	0.02
CRUK0124	R2	SMAD4	0.06
CRUK0129	R1	CIC	0.06
CRUK0129	R1	NF1	0.85
CRUK0129	R1	NF1	1
CRUK0129	R1	PIK3CA	1
CRUK0129	R2	CIC	0.17
CRUK0129	R2	NF1	0.79
CRUK0129	R2	NF1	1
CRUK0129	R2	PIK3CA	1
CRUK0129	R3	CIC	0.23
CRUK0129	R3	NF1	1
CRUK0129	R3	NF1	1
CRUK0129	R3	PIK3CA	1
CRUK0129	R4	CIC	1
CRUK0129	R4	NF1	1
CRUK0129	R4	NF1	1
CRUK0129	R4	PIK3CA	0.98
CRUK0129	R5	CIC	0.4
CRUK0129	R5	NF1	0.98
CRUK0129	R5	NF1	1
CRUK0129	R5	PIK3CA	0.98
CRUK0129	R6	CIC	0.25
CRUK0129	R6	NF1	0.9
CRUK0129	R6	NF1	1
CRUK0129	R6	PIK3CA	0.98
CRUK0129	R7	CIC	0.02
CRUK0129	R7	NF1	0.91
CRUK0129	R7	NF1	1
CRUK0129	R7	PIK3CA	1
CRUK0150	R1	ARID1B	0.89
CRUK0150	R1	BUB1B	0.02
CRUK0150	R1	BUB1B	0.02
CRUK0150	R1	CREBBP	0.02
CRUK0150	R1	KDM6A	0.02
CRUK0150	R1	NOTCH1	0.99
CRUK0150	R1	NOTCH2	0.99
CRUK0150	R1	PTPRB	0.02
CRUK0150	R1	TP53	1
CRUK0150	R2	ARID1B	1
CRUK0150	R2	BUB1B	0.02
CRUK0150	R2	BUB1B	0.02
CRUK0150	R2	CREBBP	0.02
CRUK0150	R2	KDM6A	0.02
CRUK0150	R2	NOTCH1	0.99
CRUK0150	R2	NOTCH2	0.96
CRUK0150	R2	PTPRB	0.02
CRUK0150	R2	TP53	1
CRUK0150	R3	ARID1B	1
CRUK0150	R3	BUB1B	0.02
CRUK0150	R3	BUB1B	0.02
CRUK0150	R3	CREBBP	0.02
CRUK0150	R3	KDM6A	0.02
CRUK0150	R3	NOTCH1	0.99
CRUK0150	R3	NOTCH2	1
CRUK0150	R3	PTPRB	0.02
CRUK0150	R3	TP53	1
CRUK0150	R4	ARID1B	1
CRUK0150	R4	BUB1B	0.02
CRUK0150	R4	BUB1B	0.02
CRUK0150	R4	CREBBP	0.02
CRUK0150	R4	KDM6A	0.02
CRUK0150	R4	NOTCH1	1
CRUK0150	R4	NOTCH2	0.94
CRUK0150	R4	PTPRB	0.02
CRUK0150	R4	TP53	1
CRUK0150	R5	ARID1B	0.97
CRUK0150	R5	BUB1B	0.02
CRUK0150	R5	BUB1B	0.02
CRUK0150	R5	CREBBP	0.02
CRUK0150	R5	KDM6A	0.02
CRUK0150	R5	NOTCH1	0.99
CRUK0150	R5	NOTCH2	0.93
CRUK0150	R5	PTPRB	0.02
CRUK0150	R5	TP53	1
CRUK0150	R6	ARID1B	0.98
CRUK0150	R6	BUB1B	0.02
CRUK0150	R6	BUB1B	0.02
CRUK0150	R6	CREBBP	0.02
CRUK0150	R6	KDM6A	0.02
CRUK0150	R6	NOTCH1	1
CRUK0150	R6	NOTCH2	0.91
CRUK0150	R6	PTPRB	0.02
CRUK0150	R6	TP53	1
CRUK0150	R7	ARID1B	1
CRUK0150	R7	BUB1B	0.02
CRUK0150	R7	BUB1B	1
CRUK0150	R7	CREBBP	0.02
CRUK0150	R7	KDM6A	0.02
CRUK0150	R7	NOTCH1	0.92
CRUK0150	R7	NOTCH2	0.99
CRUK0150	R7	PTPRB	0.29
CRUK0150	R7	TP53	1
CRUK0150	R8	ARID1B	1
CRUK0150	R8	BUB1B	0.02
CRUK0150	R8	BUB1B	0.43
CRUK0150	R8	CREBBP	0.98
CRUK0150	R8	KDM6A	0.02
CRUK0150	R8	NOTCH1	1
CRUK0150	R8	NOTCH2	1
CRUK0150	R8	PTPRB	0.02
CRUK0150	R8	TP53	1
CRUK0157	R1	BRAF	0.82
CRUK0157	R1	CREBBP	0.02
CRUK0157	R1	TP53	0.98
CRUK0157	R2	BRAF	1
CRUK0157	R2	CREBBP	0.02
CRUK0157	R2	TP53	1
CRUK0157	R3	BRAF	1
CRUK0157	R3	CREBBP	0.02
CRUK0157	R3	TP53	1
CRUK0157	R4	BRAF	0.96
CRUK0157	R4	CREBBP	0.02
CRUK0157	R4	TP53	1
CRUK0157	R5	BRAF	1
CRUK0157	R5	CREBBP	0.02
CRUK0157	R5	TP53	0.99
CRUK0157	R6	BRAF	1
CRUK0157	R6	CREBBP	0.13
CRUK0157	R6	TP53	1
CRUK0157	R7	BRAF	1
CRUK0157	R7	CREBBP	0.02
CRUK0157	R7	TP53	1
CRUK0157	R8	BRAF	0.02
CRUK0157	R8	CREBBP	0.02
CRUK0157	R8	TP53	0.02
CRUK0159	R1	CTNNB1	0.02
CRUK0159	R1	KRAS	0.84
CRUK0159	R1	MGA	1
CRUK0159	R1	RYR2	0.91
CRUK0159	R1	RYR2	0.96
CRUK0159	R1	RYR2	0.99
CRUK0159	R1	RYR2	1
CRUK0159	R1	RYR2	1
CRUK0159	R1	RYR2	1
CRUK0159	R1	RYR2	1
CRUK0159	R1	TP53	1
CRUK0159	R2	CTNNB1	0.02
CRUK0159	R2	KRAS	0.89
CRUK0159	R2	MGA	1
CRUK0159	R2	RYR2	0.77
CRUK0159	R2	RYR2	0.8
CRUK0159	R2	RYR2	0.88
CRUK0159	R2	RYR2	0.94
CRUK0159	R2	RYR2	0.97
CRUK0159	R2	RYR2	1
CRUK0159	R2	RYR2	1
CRUK0159	R2	TP53	0.91
CRUK0159	R3	CTNNB1	0.23
CRUK0159	R3	KRAS	1
CRUK0159	R3	MGA	1
CRUK0159	R3	RYR2	0.97
CRUK0159	R3	RYR2	0.98
CRUK0159	R3	RYR2	1
CRUK0159	R3	RYR2	1
CRUK0159	R3	RYR2	1
CRUK0159	R3	RYR2	1
CRUK0159	R3	RYR2	1
CRUK0159	R3	TP53	1
CRUK0183	R1	DNM2	0.77
CRUK0183	R1	DNM2	0.91
CRUK0183	R1	GATA3	0.81
CRUK0183	R1	KMT2C	0.02
CRUK0183	R1	KMT2D	1
CRUK0183	R1	RYR2	0.63
CRUK0183	R1	RYR2	0.85
CRUK0183	R1	RYR2	0.94
CRUK0183	R1	RYR2	1
CRUK0183	R1	SETDB1	1
CRUK0183	R1	TP53	0.96
CRUK0183	R2	DNM2	0.79
CRUK0183	R2	DNM2	0.87
CRUK0183	R2	GATA3	0.8
CRUK0183	R2	KMT2C	0.13
CRUK0183	R2	KMT2D	1
CRUK0183	R2	RYR2	0.06
CRUK0183	R2	RYR2	0.89
CRUK0183	R2	RYR2	0.89
CRUK0183	R2	RYR2	0.92
CRUK0183	R2	SETDB1	1
CRUK0183	R2	TP53	0.99
CRUK0212	R1	KMT2D	1
CRUK0212	R1	KRAS	0.88
CRUK0212	R1	PLXNB2	0.77
CRUK0212	R2	KMT2D	1
CRUK0212	R2	KRAS	0.91
CRUK0212	R2	PLXNB2	0.02
CRUK0213	R1	CDKN2A	0.77
CRUK0213	R1	CDKN2A	0.95
CRUK0213	R1	KEAP1	0.8
CRUK0213	R1	PIK3CA	1
CRUK0213	R1	TP53	1
CRUK0213	R2	CDKN2A	0.85
CRUK0213	R2	CDKN2A	1
CRUK0213	R2	KEAP1	0.91
CRUK0213	R2	PIK3CA	0.02
CRUK0213	R2	TP53	1
CRUK0213	R3	CDKN2A	0.02
CRUK0213	R3	CDKN2A	0.02
CRUK0213	R3	KEAP1	0.02
CRUK0213	R3	PIK3CA	0.02
CRUK0213	R3	TP53	0.02
CRUK0233	R1	ASXL2	0.96
CRUK0233	R1	ATM	0.53
CRUK0233	R1	ATRX	0.02
CRUK0233	R1	DICER1	0.86
CRUK0233	R1	DNAH12	0.02
CRUK0233	R1	FANCM	0.91
CRUK0233	R1	KRAS	0.84
CRUK0233	R1	TP53	0.94
CRUK0233	R2	ASXL2	0.92
CRUK0233	R2	ATM	0.02
CRUK0233	R2	ATRX	0.02
CRUK0233	R2	DICER1	0.9
CRUK0233	R2	DNAH12	0.89
CRUK0233	R2	FANCM	0.91
CRUK0233	R2	KRAS	0.97
CRUK0233	R2	TP53	1
CRUK0235	R1	ARID1A	0.64
CRUK0235	R1	NOTCH1	0.56
CRUK0235	R1	NOTCH1	0.97
CRUK0235	R1	PTEN	1
CRUK0235	R1	SETD2	0.89
CRUK0235	R2	ARID1A	0.74
CRUK0235	R2	NOTCH1	0.02
CRUK0235	R2	NOTCH1	1
CRUK0235	R2	PTEN	0.02
CRUK0235	R2	SETD2	1
CRUK0235	R3	ARID1A	0.02
CRUK0235	R3	NOTCH1	0.02
CRUK0235	R3	NOTCH1	0.02
CRUK0235	R3	PTEN	0.02
CRUK0235	R3	SETD2	0.02
CRUK0235	R4	ARID1A	0.99
CRUK0235	R4	NOTCH1	0.02
CRUK0235	R4	NOTCH1	1
CRUK0235	R4	PTEN	0.07
CRUK0235	R4	SETD2	0.99
CRUK0236	R1	ACVR1B	1
CRUK0236	R1	CUX1	0.02
CRUK0236	R1	CUX1	0.99
CRUK0236	R1	KMT2D	0.02
CRUK0236	R1	KMT2D	1
CRUK0236	R1	NF2	0.78
CRUK0236	R1	SETD2	1
CRUK0236	R1	TP53	1
CRUK0236	R2	ACVR1B	1
CRUK0236	R2	CUX1	0.98
CRUK0236	R2	CUX1	1
CRUK0236	R2	KMT2D	0.02
CRUK0236	R2	KMT2D	1
CRUK0236	R2	NF2	0.02
CRUK0236	R2	SETD2	0.92
CRUK0236	R2	TP53	1
CRUK0236	R3	ACVR1B	1
CRUK0236	R3	CUX1	0.02
CRUK0236	R3	CUX1	0.97
CRUK0236	R3	KMT2D	0.02
CRUK0236	R3	KMT2D	1
CRUK0236	R3	NF2	0.02
CRUK0236	R3	SETD2	1
CRUK0236	R3	TP53	1
CRUK0236	R4	ACVR1B	1
CRUK0236	R4	CUX1	0.33
CRUK0236	R4	CUX1	1
CRUK0236	R4	KMT2D	0.63
CRUK0236	R4	KMT2D	1
CRUK0236	R4	NF2	0.02
CRUK0236	R4	SETD2	1
CRUK0236	R4	TP53	0.89
CRUK0236	R5	ACVR1B	1
CRUK0236	R5	CUX1	0.02
CRUK0236	R5	CUX1	0.92
CRUK0236	R5	KMT2D	0.02
CRUK0236	R5	KMT2D	0.99
CRUK0236	R5	NF2	0.02
CRUK0236	R5	SETD2	1
CRUK0236	R5	TP53	0.98
CRUK0236	R6	ACVR1B	1
CRUK0236	R6	CUX1	0.02
CRUK0236	R6	CUX1	0.99
CRUK0236	R6	KMT2D	0.02
CRUK0236	R6	KMT2D	1
CRUK0236	R6	NF2	0.02
CRUK0236	R6	SETD2	0.96
CRUK0236	R6	TP53	0.95
CRUK0240	LN1	APC	0.99
CRUK0240	LN1	CDKN2A	1
CRUK0240	LN1	CHD8	0.02
CRUK0240	LN1	CYLD	1
CRUK0240	LN1	FBXW7	1
CRUK0240	LN1	TP53	0.53
CRUK0240	LN1	TSC2	0.02
CRUK0240	LN1	TSC2	0.98
CRUK0240	LN2	APC	0.91
CRUK0240	LN2	CDKN2A	1
CRUK0240	LN2	CHD8	0.02
CRUK0240	LN2	CYLD	1
CRUK0240	LN2	FBXW7	0.99
CRUK0240	LN2	TP53	1
CRUK0240	LN2	TSC2	0.02
CRUK0240	LN2	TSC2	1
CRUK0240	R1	APC	1
CRUK0240	R1	CDKN2A	1
CRUK0240	R1	CHD8	0.02
CRUK0240	R1	CYLD	1
CRUK0240	R1	FBXW7	0.97
CRUK0240	R1	TP53	1
CRUK0240	R1	TSC2	0.02
CRUK0240	R1	TSC2	0.07
CRUK0240	R2	APC	0.99
CRUK0240	R2	CDKN2A	1
CRUK0240	R2	CHD8	0.02
CRUK0240	R2	CYLD	1
CRUK0240	R2	FBXW7	0.94
CRUK0240	R2	TP53	0.83
CRUK0240	R2	TSC2	0.23
CRUK0240	R2	TSC2	0.93
CRUK0240	R3	APC	0.88
CRUK0240	R3	CDKN2A	0.96
CRUK0240	R3	CHD8	0.02
CRUK0240	R3	CYLD	1
CRUK0240	R3	FBXW7	1
CRUK0240	R3	TP53	0.94
CRUK0240	R3	TSC2	0.02
CRUK0240	R3	TSC2	0.84
CRUK0240	R4	APC	0.88
